data_entry,id,trial,movement,number,comment
caterina,P02,74,inwards,27,
caterina,P02,75,outwards,1,
caterina,P02,76,inwards,19,
caterina,P02,77,outwards,23,
caterina,P02,78,inwards,21,
caterina,P02,79,outwards,24,
caterina,P02,80,inwards,3,
caterina,P02,81,outwards,NA,
caterina,P02,82,inwards,NA,
caterina,P02,83,outwards,NA,
caterina,P02,84,inwards,NA,
caterina,P02,85,outwards,NA,
caterina,P02,86,outwards,NA,
caterina,P02,87,inwards,NA,
caterina,P02,88,outwards,NA,
caterina,P02,89,inwards,NA,
caterina,P02,90,outwards,NA,
caterina,P02,91,outwards,NA,
caterina,P02,92,outwards,NA,
caterina,P02,93,inwards,NA,
caterina,P02,94,outwards,NA,
caterina,P02,95,inwards,NA,
caterina,P02,96,outwards,NA,
caterina,P02,97,outwards,NA,
caterina,P02,98,inwards,NA,
caterina,P02,99,outwards,NA,
caterina,P02,100,inwards,NA,
caterina,P03,1,outwards,3,
caterina,P03,2,inwards,5,
caterina,P03,3,outwards,15,
caterina,P03,4,inwards,18,
caterina,P03,5,outwards,30,
caterina,P03,6,inwards,23,
caterina,P03,7,outwards,26,
caterina,P03,8,inwards,16,
caterina,P03,9,outwards,19,
caterina,P03,10,inwards,23,
caterina,P03,11,outwards,18,
caterina,P03,12,inwards,4,
caterina,P03,13,outwards,14,
caterina,P03,14,inwards,16,
caterina,P03,15,outwards,19,
caterina,P03,16,inwards,8,
caterina,P03,17,outwards,4,
caterina,P03,18,inwards,2,
caterina,P03,19,outwards,10,
caterina,P03,20,inwards,12,
caterina,P03,21,outwards,4,
caterina,P03,22,inwards,5,
caterina,P03,23,outwards,10,
caterina,P03,24,inwards,12,
caterina,P03,25,outwards,14,
caterina,P03,26,inwards,4,
caterina,P03,27,outwards,1,
caterina,P03,28,inwards,6,
caterina,P03,29,outwards,19,
caterina,P03,30,inwards,17,
caterina,P03,31,outwards,27,
caterina,P03,32,inwards,30,
caterina,P03,33,outwards,2,
caterina,P03,34,inwards,4,
caterina,P03,35,outwards,11,
caterina,P03,36,inwards,10,
caterina,P03,37,outwards,9,
caterina,P03,38,inwards,7,
caterina,P03,39,outwards,17,
caterina,P03,40,inwards,24,
caterina,P03,41,outwards,7,
caterina,P03,42,inwards,30,
caterina,P03,43,outwards,1,
caterina,P03,44,inwards,3,
caterina,P03,45,outwards,5,
caterina,P03,46,inwards,9,
caterina,P03,47,outwards,16,
caterina,P03,48,inwards,21,
caterina,P03,49,outwards,29,
caterina,P03,50,inwards,30,
caterina,P03,51,outwards,4,
caterina,P03,52,inwards,7,
caterina,P03,53,outwards,9,
caterina,P03,54,inwards,5,
caterina,P03,55,outwards,8,
caterina,P03,56,inwards,7,
caterina,P03,57,outwards,11,
caterina,P03,58,inwards,13,
caterina,P03,59,outwards,15,
caterina,P03,60,inwards,17,
caterina,P03,61,outwards,27,
caterina,P03,62,inwards,4,
caterina,P03,63,outwards,3,
caterina,P03,64,inwards,10,
caterina,P03,65,outwards,NA,
caterina,P03,66,inwards,15,
caterina,P03,67,outwards,13,
caterina,P03,68,inwards,12,
caterina,P03,69,outwards,27,
caterina,P03,70,inwards,29,
caterina,P03,71,outwards,13,
caterina,P03,72,inwards,15,
caterina,P03,73,outwards,4,
caterina,P03,74,inwards,15,
caterina,P03,75,outwards,19,
caterina,P03,76,inwards,27,
caterina,P03,77,outwards,24,
caterina,P03,78,inwards,28,
caterina,P03,79,outwards,4,
caterina,P03,80,inwards,8,
caterina,P03,81,outwards,3,
caterina,P03,82,inwards,13,
caterina,P03,83,outwards,14,
caterina,P03,84,inwards,26,
caterina,P03,85,outwards,29,
caterina,P03,86,inwards,4,
caterina,P03,87,outwards,NA,
caterina,P03,88,inwards,NA,
caterina,P03,89,outwards,NA,
caterina,P03,90,inwards,NA,
caterina,P03,91,outwards,NA,
caterina,P03,92,inwards,NA,
caterina,P03,93,outwards,NA,
caterina,P03,94,inwards,NA,
caterina,P03,95,outwards,NA,
caterina,P03,96,inwards,NA,
caterina,P03,97,outwards,NA,
caterina,P03,98,inwards,NA,
caterina,P03,99,outwards,NA,
caterina,P03,100,inwards,NA,
caterina,P04,1,outwards,8,
caterina,P04,2,inwards,10,
caterina,P04,3,outwards,6,
caterina,P04,4,inwards,12,
caterina,P04,5,outwards,21,
caterina,P04,6,inwards,30,
caterina,P04,7,outwards,2,
caterina,P04,8,inwards,1,
caterina,P04,9,outwards,4,
caterina,P04,10,inwards,10,
caterina,P04,11,outwards,15,
caterina,P04,12,inwards,18,
caterina,P04,13,outwards,23,
caterina,P04,14,inwards,2,
caterina,P04,15,outwards,1,
caterina,P04,16,inwards,7,
caterina,P04,17,outwards,10,
caterina,P04,18,inwards,13,
caterina,P04,19,outwards,17,
caterina,P04,20,inwards,20,
caterina,P04,21,outwards,23,
caterina,P04,22,inwards,28,
caterina,P04,23,outwards,29,
caterina,P04,24,inwards,5,
caterina,P04,25,outwards,1,
