subject,language,movement,number,trial
eng_24_P08,english,outwards,8,22
eng_24_P08,english,inwards,7,23
eng_24_P08,english,outwards,5,24
eng_24_P08,english,inwards,11,25
eng_24_P08,english,outwards,26,26
eng_24_P08,english,inwards,27,27
eng_24_P08,english,outwards,28,28
eng_24_P08,english,inwards,29,29
eng_24_P08,english,outwards,30,30
eng_24_P08,english,inwards,1,31
eng_24_P08,english,outwards,2,32
eng_24_P08,english,inwards,3,33
eng_24_P08,english,outwards,11,34
eng_24_P08,english,inwards,18,35
eng_24_P08,english,outwards,20,36
eng_24_P08,english,inwards,21,37
eng_24_P08,english,outwards,22,38
eng_24_P08,english,inwards,12,39
eng_24_P08,english,outwards,10,40
eng_24_P08,english,inwards,11,41
eng_24_P08,english,outwards,7,42
eng_24_P08,english,inwards,5,43
eng_24_P08,english,outwards,7,44
eng_24_P08,english,inwards,3,45
eng_24_P08,english,outwards,8,46
eng_24_P08,english,inwards,9,47
eng_24_P08,english,outwards,2,48
eng_24_P08,english,inwards,11,49
eng_24_P08,english,outwards,12,50
eng_24_P08,english,inwards,17,51
eng_24_P08,english,outwards,11,52
eng_24_P08,english,inwards,21,53
eng_24_P08,english,outwards,23,54
eng_24_P08,english,inwards,29,55
eng_24_P08,english,outwards,30,56
eng_24_P08,english,inwards,13,57
eng_24_P08,english,outwards,15,58
eng_24_P08,english,inwards,16,59
eng_24_P08,english,outwards,2,60
eng_24_P08,english,inwards,1,61
eng_24_P08,english,outwards,3,62
eng_24_P08,english,inwards,11,63
eng_24_P08,english,outwards,12,64
eng_24_P08,english,inwards,11,65
eng_24_P08,english,outwards,16,66
eng_24_P08,english,inwards,22,67
eng_24_P08,english,outwards,21,68
eng_24_P08,english,inwards,23,69
eng_24_P08,english,outwards,30,70
eng_24_P08,english,inwards,11,71
eng_24_P08,english,outwards,12,72
eng_24_P08,english,inwards,11,73
eng_24_P08,english,outwards,1,74
eng_24_P08,english,inwards,7,75
eng_24_P08,english,outwards,10,76
eng_24_P08,english,inwards,11,77
eng_24_P08,english,outwards,13,78
eng_24_P08,english,inwards,11,79
eng_24_P08,english,outwards,12,80
eng_24_P09,english,inwards,1,1
eng_24_P09,english,outwards,22,2
eng_24_P09,english,inwards,23,3
eng_24_P09,english,outwards,15,4
eng_24_P09,english,inwards,12,5
eng_24_P09,english,outwards,15,6
eng_24_P09,english,inwards,16,7
eng_24_P09,english,outwards,22,8
eng_24_P09,english,inwards,16,9
eng_24_P09,english,outwards,9,10
eng_24_P09,english,inwards,8,11
eng_24_P09,english,outwards,11,12
eng_24_P09,english,inwards,12,13
eng_24_P09,english,outwards,15,14
eng_24_P09,english,inwards,16,15
eng_24_P09,english,outwards,13,16
eng_24_P09,english,outwards,15,18
eng_24_P09,english,inwards,12,19
eng_24_P09,english,outwards,6,20
eng_24_P09,english,inwards,5,21
eng_24_P09,english,outwards,4,22
eng_24_P09,english,inwards,15,23
eng_24_P09,english,outwards,19,24
eng_24_P09,english,inwards,18,25
eng_24_P09,english,outwards,28,26
eng_24_P09,english,inwards,24,27
eng_24_P09,english,outwards,20,28
eng_24_P09,english,inwards,16,29
eng_24_P09,english,outwards,12,30
eng_24_P09,english,inwards,6,31
eng_24_P09,english,outwards,8,32
eng_24_P09,english,inwards,9,33
eng_24_P09,english,outwards,11,34
eng_24_P09,english,inwards,15,35
eng_24_P09,english,outwards,17,36
eng_24_P09,english,inwards,19,37
eng_24_P09,english,outwards,21,38
eng_24_P09,english,inwards,23,39
eng_24_P09,english,outwards,25,40
eng_24_P09,english,inwards,3,41
eng_24_P09,english,outwards,5,42
eng_24_P09,english,inwards,2,43
eng_24_P09,english,outwards,6,44
eng_24_P09,english,inwards,8,45
eng_24_P09,english,outwards,9,46
eng_24_P09,english,inwards,11,47
eng_24_P09,english,outwards,12,48
eng_24_P09,english,inwards,26,49
eng_24_P09,english,outwards,28,50
eng_24_P09,english,inwards,30,51
eng_24_P09,english,outwards,10,52
eng_24_P09,english,inwards,9,53
eng_24_P09,english,outwards,11,54
eng_24_P09,english,inwards,12,55
eng_24_P09,english,outwards,22,56
eng_24_P09,english,inwards,25,57
eng_24_P09,english,outwards,10,58
eng_24_P09,english,inwards,6,59
eng_24_P09,english,outwards,17,60
eng_24_P09,english,inwards,16,61
eng_24_P09,english,outwards,18,62
eng_24_P09,english,inwards,29,63
eng_24_P09,english,outwards,30,64
eng_24_P09,english,inwards,26,65
eng_24_P09,english,outwards,22,66
eng_24_P09,english,inwards,21,67
eng_24_P09,english,outwards,15,68
eng_24_P09,english,inwards,16,69
eng_24_P09,english,outwards,12,70
eng_24_P09,english,inwards,11,71
eng_24_P09,english,outwards,9,72
eng_24_P09,english,inwards,6,73
eng_24_P09,english,outwards,1,74
eng_24_P09,english,inwards,6,75
eng_24_P09,english,outwards,11,76
eng_24_P09,english,inwards,15,77
eng_24_P09,english,outwards,16,78
eng_24_P09,english,inwards,19,79
eng_24_P09,english,outwards,18,80
eng_24_P10,english,inwards,8,1
eng_24_P10,english,outwards,15,2
eng_24_P10,english,inwards,10,3
eng_24_P10,english,outwards,2,4
eng_24_P10,english,inwards,22,5
eng_24_P10,english,outwards,20,6
eng_24_P10,english,inwards,15,7
eng_24_P10,english,outwards,14,8
eng_24_P10,english,inwards,8,9
eng_24_P10,english,outwards,3,10
eng_24_P10,english,inwards,1,11
eng_24_P10,english,outwards,11,12
eng_24_P10,english,inwards,26,13
eng_24_P10,english,outwards,30,14
eng_24_P10,english,inwards,19,15
eng_24_P10,english,outwards,9,16
eng_24_P10,english,inwards,10,17
eng_24_P10,english,outwards,16,18
eng_24_P10,english,inwards,17,19
eng_24_P10,english,outwards,23,20
eng_24_P10,english,inwards,27,21
eng_24_P10,english,outwards,24,22
eng_24_P10,english,inwards,10,23
eng_24_P10,english,outwards,6,24
eng_24_P10,english,inwards,4,25
eng_24_P10,english,outwards,8,26
eng_24_P10,english,inwards,13,27
eng_24_P10,english,outwards,25,28
eng_24_P10,english,inwards,28,29
eng_24_P10,english,outwards,30,30
eng_24_P10,english,inwards,11,31
eng_24_P10,english,outwards,16,32
eng_24_P10,english,inwards,8,33
eng_24_P10,english,outwards,9,34
eng_24_P10,english,inwards,3,35
eng_24_P10,english,outwards,1,36
eng_24_P10,english,inwards,16,37
eng_24_P10,english,outwards,22,38
eng_24_P10,english,inwards,24,39
eng_24_P10,english,outwards,14,40
eng_24_P10,english,inwards,18,41
eng_24_P10,english,outwards,30,42
eng_24_P10,english,inwards,16,43
eng_24_P10,english,outwards,12,44
eng_24_P10,english,inwards,4,45
eng_24_P10,english,outwards,1,46
eng_24_P10,english,inwards,13,47
eng_24_P10,english,outwards,22,48
eng_24_P10,english,inwards,24,49
eng_24_P10,english,outwards,18,50
eng_24_P10,english,inwards,4,51
eng_24_P10,english,outwards,26,52
eng_24_P10,english,inwards,30,53
eng_24_P10,english,outwards,16,54
eng_24_P10,english,inwards,12,55
eng_24_P10,english,outwards,24,56
eng_24_P10,english,inwards,2,57
eng_24_P10,english,outwards,6,58
eng_24_P10,english,inwards,8,59
eng_24_P10,english,outwards,10,60
eng_24_P10,english,inwards,5,61
eng_24_P10,english,outwards,10,62
eng_24_P10,english,inwards,15,63
eng_24_P10,english,outwards,20,64
eng_24_P10,english,inwards,25,65
eng_24_P10,english,outwards,7,66
eng_24_P10,english,inwards,10,67
eng_24_P10,english,outwards,12,68
eng_24_P10,english,inwards,4,69
eng_24_P10,english,outwards,6,70
eng_24_P10,english,inwards,5,71
eng_24_P10,english,outwards,3,72
eng_24_P10,english,inwards,2,73
eng_24_P10,english,outwards,1,74
eng_24_P10,english,inwards,15,75
eng_24_P10,english,outwards,18,76
eng_24_P10,english,inwards,23,77
eng_24_P10,english,outwards,29,78
eng_24_P10,english,inwards,27,79
eng_24_P10,english,outwards,14,80
eng_24_P11,english,inwards,7,1
eng_24_P11,english,outwards,12,2
eng_24_P11,english,inwards,6,3
eng_24_P11,english,outwards,28,4
eng_24_P11,english,inwards,20,5
eng_24_P11,english,outwards,23,6
eng_24_P11,english,inwards,4,7
eng_24_P11,english,outwards,16,8
eng_24_P11,english,inwards,5,9
eng_24_P11,english,outwards,6,10
eng_24_P11,english,inwards,18,11
eng_24_P11,english,outwards,20,12
eng_24_P11,english,inwards,9,13
eng_24_P11,english,outwards,11,14
eng_24_P11,english,inwards,12,15
eng_24_P11,english,outwards,16,16
eng_24_P11,english,inwards,4,17
eng_24_P11,english,outwards,28,18
eng_24_P11,english,inwards,20,19
eng_24_P11,english,outwards,27,20
eng_24_P11,english,inwards,3,21
eng_24_P11,english,outwards,5,22
eng_24_P11,english,inwards,4,23
eng_24_P11,english,outwards,20,24
eng_24_P11,english,inwards,19,25
eng_24_P11,english,outwards,14,26
eng_24_P11,english,inwards,16,27
eng_24_P11,english,outwards,18,28
eng_24_P11,english,inwards,12,29
eng_24_P11,english,outwards,23,30
eng_24_P11,english,inwards,4,31
eng_24_P11,english,outwards,19,32
eng_24_P11,english,inwards,12,33
eng_24_P11,english,outwards,22,34
eng_24_P11,english,inwards,3,35
eng_24_P11,english,outwards,12,36
eng_24_P11,english,inwards,14,37
eng_24_P11,english,outwards,18,38
eng_24_P11,english,inwards,4,39
eng_24_P11,english,outwards,26,40
eng_24_P11,english,inwards,5,41
eng_24_P11,english,outwards,28,42
eng_24_P11,english,inwards,20,43
eng_24_P11,english,outwards,29,44
eng_24_P11,english,inwards,1,45
eng_24_P11,english,outwards,12,46
eng_24_P11,english,inwards,2,47
eng_24_P11,english,outwards,18,48
eng_24_P11,english,inwards,4,49
eng_24_P11,english,outwards,16,50
eng_24_P11,english,inwards,6,51
eng_24_P11,english,outwards,24,52
eng_24_P11,english,inwards,3,53
eng_24_P11,english,outwards,19,54
eng_24_P11,english,inwards,9,55
eng_24_P11,english,outwards,19,56
eng_24_P11,english,inwards,8,57
eng_24_P11,english,outwards,23,58
eng_24_P11,english,inwards,3,59
eng_24_P11,english,outwards,26,60
eng_24_P11,english,outwards,12,62
eng_24_P11,english,inwards,1,63
eng_24_P11,english,outwards,3,64
eng_24_P11,english,inwards,5,65
eng_24_P11,english,outwards,19,66
eng_24_P11,english,inwards,6,67
eng_24_P11,english,outwards,23,68
eng_24_P11,english,inwards,4,69
eng_24_P11,english,outwards,22,70
eng_24_P11,english,inwards,7,71
eng_24_P11,english,outwards,27,72
eng_24_P11,english,inwards,8,73
eng_24_P11,english,outwards,28,74
eng_24_P11,english,inwards,2,75
eng_24_P11,english,outwards,16,76
eng_24_P11,english,inwards,5,77
eng_24_P11,english,outwards,23,78
eng_24_P11,english,inwards,6,79
eng_24_P11,english,outwards,12,80
eng_24_P12,english,inwards,2,1
eng_24_P12,english,outwards,5,2
eng_24_P12,english,inwards,6,3
eng_24_P12,english,outwards,1,4
eng_24_P12,english,inwards,15,5
eng_24_P12,english,outwards,25,6
eng_24_P12,english,inwards,27,7
eng_24_P12,english,outwards,21,8
eng_24_P12,english,inwards,23,9
eng_24_P12,english,outwards,19,10
eng_24_P12,english,inwards,1,11
eng_24_P12,english,outwards,5,12
eng_24_P12,english,inwards,4,13
eng_24_P12,english,outwards,12,14
eng_24_P12,english,inwards,13,15
eng_24_P12,english,outwards,14,16
eng_24_P12,english,inwards,18,17
eng_24_P12,english,outwards,25,18
eng_24_P12,english,inwards,27,19
eng_24_P12,english,outwards,29,20
eng_24_P12,english,inwards,30,21
eng_24_P12,english,outwards,29,22
eng_24_P12,english,inwards,28,23
eng_24_P12,english,outwards,26,24
eng_24_P12,english,inwards,25,25
eng_24_P12,english,outwards,23,26
eng_24_P12,english,inwards,21,27
eng_24_P12,english,outwards,20,28
eng_24_P12,english,inwards,18,29
eng_24_P12,english,outwards,15,30
eng_24_P12,english,inwards,11,31
eng_24_P12,english,outwards,12,32
eng_24_P12,english,inwards,5,33
eng_24_P12,english,outwards,6,34
eng_24_P12,english,inwards,9,35
eng_24_P12,english,outwards,10,36
eng_24_P12,english,inwards,2,37
eng_24_P12,english,outwards,18,38
eng_24_P12,english,inwards,17,39
eng_24_P12,english,outwards,19,40
eng_24_P12,english,inwards,20,41
eng_24_P12,english,outwards,1,42
eng_24_P12,english,inwards,2,43
eng_24_P12,english,outwards,3,44
eng_24_P12,english,inwards,4,45
eng_24_P12,english,outwards,5,46
eng_24_P12,english,inwards,7,47
eng_24_P12,english,outwards,9,48
eng_24_P12,english,inwards,22,49
eng_24_P12,english,outwards,23,50
eng_24_P12,english,inwards,12,51
eng_24_P12,english,outwards,15,52
eng_24_P12,english,inwards,16,53
eng_24_P12,english,outwards,17,54
eng_24_P12,english,inwards,18,55
eng_24_P12,english,outwards,19,56
eng_24_P12,english,inwards,11,57
eng_24_P12,english,outwards,12,58
eng_24_P12,english,inwards,3,59
eng_24_P12,english,outwards,4,60
eng_24_P12,english,inwards,5,61
eng_24_P12,english,outwards,6,62
eng_24_P12,english,inwards,7,63
eng_24_P12,english,outwards,8,64
eng_24_P12,english,inwards,9,65
eng_24_P12,english,outwards,16,66
eng_24_P12,english,inwards,17,67
eng_24_P12,english,outwards,25,68
eng_24_P12,english,inwards,23,69
eng_24_P12,english,outwards,22,70
eng_24_P12,english,inwards,28,71
eng_24_P12,english,outwards,29,72
eng_24_P12,english,inwards,30,73
eng_24_P12,english,outwards,1,74
eng_24_P12,english,inwards,2,75
eng_24_P12,english,outwards,5,76
eng_24_P12,english,inwards,6,77
eng_24_P12,english,outwards,7,78
eng_24_P12,english,inwards,8,79
eng_24_P12,english,outwards,9,80
eng_24_P13,english,inwards,11,1
eng_24_P13,english,outwards,13,2
eng_24_P13,english,inwards,16,3
eng_24_P13,english,outwards,19,4
eng_24_P13,english,inwards,11,5
eng_24_P13,english,outwards,20,6
eng_24_P13,english,inwards,23,7
eng_24_P13,english,outwards,25,8
eng_24_P13,english,inwards,29,9
eng_24_P13,english,outwards,30,10
eng_24_P13,english,inwards,6,11
eng_24_P13,english,outwards,8,12
eng_24_P13,english,inwards,2,13
eng_24_P13,english,outwards,3,14
eng_24_P13,english,inwards,13,15
eng_24_P13,english,outwards,15,16
eng_24_P13,english,inwards,16,17
eng_24_P13,english,outwards,17,18
eng_24_P13,english,inwards,19,19
eng_24_P13,english,outwards,20,20
eng_24_P13,english,inwards,23,21
eng_24_P13,english,outwards,22,22
eng_24_P13,english,inwards,26,23
eng_24_P13,english,outwards,27,24
eng_24_P13,english,inwards,15,25
eng_24_P13,english,outwards,16,26
eng_24_P13,english,inwards,12,27
eng_24_P13,english,outwards,7,28
eng_24_P13,english,inwards,8,29
eng_24_P13,english,outwards,10,30
eng_24_P13,english,inwards,3,31
eng_24_P13,english,outwards,11,32
eng_24_P13,english,inwards,20,33
eng_24_P13,english,outwards,10,34
eng_24_P13,english,inwards,11,35
eng_24_P13,english,outwards,18,36
eng_24_P13,english,inwards,21,37
eng_24_P13,english,outwards,25,38
eng_24_P13,english,inwards,29,39
eng_24_P13,english,outwards,30,40
eng_24_P13,english,inwards,12,41
eng_24_P13,english,outwards,16,42
eng_24_P13,english,inwards,17,43
eng_24_P13,english,outwards,19,44
eng_24_P13,english,inwards,20,45
eng_24_P13,english,outwards,21,46
eng_24_P13,english,inwards,26,47
eng_24_P13,english,outwards,27,48
eng_24_P13,english,inwards,30,49
eng_24_P13,english,outwards,15,50
eng_24_P13,english,inwards,17,51
eng_24_P13,english,outwards,16,52
eng_24_P13,english,inwards,18,53
eng_24_P13,english,outwards,17,54
eng_24_P13,english,inwards,11,55
eng_24_P13,english,outwards,12,56
eng_24_P13,english,inwards,10,57
eng_24_P13,english,outwards,9,58
eng_24_P13,english,inwards,8,59
eng_24_P13,english,outwards,4,60
eng_24_P13,english,inwards,3,61
eng_24_P13,english,outwards,2,62
eng_24_P13,english,inwards,1,63
eng_24_P13,english,outwards,10,64
eng_24_P13,english,inwards,11,65
eng_24_P13,english,outwards,13,66
eng_24_P13,english,inwards,18,67
eng_24_P13,english,outwards,20,68
eng_24_P13,english,inwards,23,69
eng_24_P13,english,outwards,25,70
eng_24_P13,english,inwards,26,71
eng_24_P13,english,outwards,29,72
eng_24_P13,english,inwards,30,73
eng_24_P13,english,outwards,16,74
eng_24_P13,english,inwards,11,75
eng_24_P13,english,outwards,12,76
eng_24_P13,english,inwards,13,77
eng_24_P13,english,outwards,15,78
eng_24_P13,english,inwards,17,79
eng_24_P13,english,outwards,18,80
eng_24_P14,english,inwards,1,1
eng_24_P14,english,outwards,3,2
eng_24_P14,english,inwards,8,3
eng_24_P14,english,outwards,9,4
eng_24_P14,english,inwards,11,5
eng_24_P14,english,outwards,14,6
eng_24_P14,english,inwards,19,7
eng_24_P14,english,outwards,15,8
eng_24_P14,english,inwards,10,9
eng_24_P14,english,outwards,2,10
eng_24_P14,english,inwards,4,11
eng_24_P14,english,outwards,5,12
eng_24_P14,english,inwards,14,13
eng_24_P14,english,outwards,13,14
eng_24_P14,english,inwards,16,15
eng_24_P14,english,outwards,19,16
eng_24_P14,english,inwards,21,17
eng_24_P14,english,outwards,20,18
eng_24_P14,english,inwards,25,19
eng_24_P14,english,outwards,8,20
eng_24_P14,english,inwards,7,21
eng_24_P14,english,outwards,15,22
eng_24_P14,english,inwards,16,23
eng_24_P14,english,outwards,18,24
eng_24_P14,english,inwards,2,25
eng_24_P14,english,outwards,28,26
eng_24_P14,english,inwards,29,27
eng_24_P14,english,outwards,9,28
eng_24_P14,english,inwards,7,29
eng_24_P14,english,outwards,6,30
eng_24_P14,english,inwards,5,31
eng_24_P14,english,outwards,2,32
eng_24_P14,english,inwards,10,33
eng_24_P14,english,outwards,11,34
eng_24_P14,english,inwards,14,35
eng_24_P14,english,outwards,19,36
eng_24_P14,english,inwards,21,37
eng_24_P14,english,outwards,20,38
eng_24_P14,english,inwards,20,39
eng_24_P14,english,outwards,30,40
eng_24_P14,english,inwards,29,41
eng_24_P14,english,outwards,30,42
eng_24_P14,english,inwards,1,43
eng_24_P14,english,outwards,5,44
eng_24_P14,english,inwards,7,45
eng_24_P14,english,outwards,9,46
eng_24_P14,english,inwards,12,47
eng_24_P14,english,outwards,14,48
eng_24_P14,english,inwards,15,49
eng_24_P14,english,outwards,17,50
eng_24_P14,english,inwards,18,51
eng_24_P14,english,outwards,3,52
eng_24_P14,english,inwards,5,53
eng_24_P14,english,outwards,9,54
eng_24_P14,english,inwards,20,55
eng_24_P14,english,outwards,21,56
eng_24_P14,english,inwards,24,57
eng_24_P14,english,outwards,5,58
eng_24_P14,english,inwards,6,59
eng_24_P14,english,outwards,7,60
eng_24_P14,english,inwards,8,61
eng_24_P14,english,outwards,11,62
eng_24_P14,english,inwards,12,63
eng_24_P14,english,outwards,15,64
eng_24_P14,english,inwards,16,65
eng_24_P14,english,outwards,17,66
eng_24_P14,english,inwards,18,67
eng_24_P14,english,outwards,24,68
eng_24_P14,english,inwards,2,69
eng_24_P14,english,outwards,5,70
eng_24_P14,english,inwards,7,71
eng_24_P14,english,outwards,8,72
eng_24_P14,english,inwards,9,73
eng_24_P14,english,outwards,10,74
eng_24_P14,english,inwards,14,75
eng_24_P14,english,outwards,16,76
eng_24_P14,english,inwards,18,77
eng_24_P14,english,outwards,20,78
eng_24_P14,english,inwards,22,79
eng_24_P14,english,outwards,24,80
eng_24_P15,english,inwards,12,1
eng_24_P15,english,outwards,11,2
eng_24_P15,english,inwards,22,3
eng_24_P15,english,outwards,12,4
eng_24_P15,english,inwards,7,5
eng_24_P15,english,outwards,3,6
eng_24_P15,english,inwards,4,7
eng_24_P15,english,outwards,5,8
eng_24_P15,english,inwards,8,9
eng_24_P15,english,outwards,16,10
eng_24_P15,english,inwards,12,11
eng_24_P15,english,outwards,5,12
eng_24_P15,english,inwards,7,13
eng_24_P15,english,outwards,21,14
eng_24_P15,english,inwards,26,15
eng_24_P15,english,outwards,23,16
eng_24_P15,english,inwards,13,17
eng_24_P15,english,outwards,8,18
eng_24_P15,english,inwards,9,19
eng_24_P15,english,outwards,10,20
eng_24_P15,english,inwards,1,21
eng_24_P15,english,outwards,29,22
eng_24_P15,english,inwards,3,23
eng_24_P15,english,outwards,13,24
eng_24_P15,english,inwards,6,25
eng_24_P15,english,outwards,18,26
eng_24_P15,english,inwards,12,27
eng_24_P15,english,outwards,14,28
eng_24_P15,english,inwards,15,29
eng_24_P15,english,outwards,7,30
eng_24_P15,english,inwards,8,31
eng_24_P15,english,outwards,3,32
eng_24_P15,english,inwards,2,33
eng_24_P15,english,outwards,1,34
eng_24_P15,english,inwards,11,35
eng_24_P15,english,outwards,12,36
eng_24_P15,english,inwards,3,37
eng_24_P15,english,outwards,7,38
eng_24_P15,english,inwards,4,39
eng_24_P15,english,outwards,16,40
eng_24_P15,english,inwards,17,41
eng_24_P15,english,outwards,8,42
eng_24_P15,english,inwards,3,43
eng_24_P15,english,outwards,4,44
eng_24_P15,english,inwards,9,45
eng_24_P15,english,outwards,12,46
eng_24_P15,english,inwards,3,47
eng_24_P15,english,outwards,5,48
eng_24_P15,english,inwards,25,49
eng_24_P15,english,outwards,27,50
eng_24_P15,english,inwards,3,51
eng_24_P15,english,outwards,7,52
eng_24_P15,english,inwards,10,53
eng_24_P15,english,outwards,12,54
eng_24_P15,english,inwards,13,55
eng_24_P15,english,outwards,3,56
eng_24_P15,english,inwards,4,57
eng_24_P15,english,outwards,6,58
eng_24_P15,english,inwards,8,59
eng_24_P15,english,outwards,12,60
eng_24_P15,english,inwards,17,61
eng_24_P15,english,outwards,20,62
eng_24_P15,english,inwards,18,63
eng_24_P15,english,outwards,24,64
eng_24_P15,english,inwards,23,65
eng_24_P15,english,outwards,8,66
eng_24_P15,english,inwards,10,67
eng_24_P15,english,outwards,11,68
eng_24_P15,english,inwards,12,69
eng_24_P15,english,outwards,13,70
eng_24_P15,english,inwards,3,71
eng_24_P15,english,outwards,7,72
eng_24_P15,english,inwards,2,73
eng_24_P15,english,outwards,1,74
eng_24_P15,english,inwards,8,75
eng_24_P15,english,outwards,25,76
eng_24_P15,english,inwards,26,77
eng_24_P15,english,outwards,20,78
eng_24_P15,english,inwards,18,79
eng_24_P15,english,outwards,19,80
eng_24_P16,english,inwards,30,1
eng_24_P16,english,outwards,29,2
eng_24_P16,english,inwards,23,3
eng_24_P16,english,outwards,18,4
eng_24_P16,english,inwards,13,5
eng_24_P16,english,outwards,6,6
eng_24_P16,english,inwards,5,7
eng_24_P16,english,outwards,9,8
eng_24_P16,english,inwards,13,9
eng_24_P16,english,outwards,14,10
eng_24_P16,english,inwards,26,11
eng_24_P16,english,outwards,24,12
eng_24_P16,english,inwards,25,13
eng_24_P16,english,outwards,20,14
eng_24_P16,english,inwards,10,15
eng_24_P16,english,outwards,11,16
eng_24_P16,english,inwards,3,17
eng_24_P16,english,outwards,6,18
eng_24_P16,english,inwards,19,19
eng_24_P16,english,outwards,29,20
eng_24_P16,english,inwards,25,21
eng_24_P16,english,outwards,21,22
eng_24_P16,english,inwards,11,23
eng_24_P16,english,outwards,13,24
eng_24_P16,english,inwards,15,25
eng_24_P16,english,outwards,18,26
eng_24_P16,english,inwards,28,27
eng_24_P16,english,outwards,27,28
eng_24_P16,english,inwards,22,29
eng_24_P16,english,outwards,21,30
eng_24_P16,english,inwards,24,31
eng_24_P16,english,outwards,6,32
eng_24_P16,english,inwards,8,33
eng_24_P16,english,outwards,9,34
eng_24_P16,english,inwards,2,35
eng_24_P16,english,outwards,3,36
eng_24_P16,english,inwards,15,37
eng_24_P16,english,outwards,18,38
eng_24_P16,english,inwards,16,39
eng_24_P16,english,outwards,13,40
eng_24_P16,english,inwards,23,41
eng_24_P16,english,outwards,24,42
eng_24_P16,english,inwards,29,43
eng_24_P16,english,outwards,19,44
eng_24_P16,english,inwards,13,45
eng_24_P16,english,outwards,15,46
eng_24_P16,english,inwards,5,47
eng_24_P16,english,outwards,16,48
eng_24_P16,english,inwards,27,49
eng_24_P16,english,outwards,22,50
eng_24_P16,english,inwards,24,51
eng_24_P16,english,outwards,14,52
eng_24_P16,english,inwards,16,53
eng_24_P16,english,outwards,18,54
eng_24_P16,english,inwards,17,55
eng_24_P16,english,outwards,13,56
eng_24_P16,english,inwards,3,57
eng_24_P16,english,outwards,5,58
eng_24_P16,english,inwards,9,59
eng_24_P16,english,outwards,18,60
eng_24_P16,english,inwards,17,61
eng_24_P16,english,outwards,27,62
eng_24_P16,english,inwards,25,63
eng_24_P16,english,outwards,22,64
eng_24_P16,english,inwards,23,65
eng_24_P16,english,outwards,25,66
eng_24_P16,english,inwards,15,67
eng_24_P16,english,outwards,5,68
eng_24_P16,english,inwards,6,69
eng_24_P16,english,outwards,17,70
eng_24_P16,english,inwards,8,71
eng_24_P16,english,outwards,28,72
eng_24_P16,english,inwards,29,73
eng_24_P16,english,outwards,19,74
eng_24_P16,english,inwards,10,75
eng_24_P16,english,outwards,20,76
eng_24_P16,english,inwards,26,77
eng_24_P16,english,outwards,23,78
eng_24_P16,english,inwards,21,79
eng_24_P16,english,outwards,11,80
eng_24_P17,english,inwards,7,1
eng_24_P17,english,outwards,10,2
eng_24_P17,english,inwards,11,3
eng_24_P17,english,outwards,19,4
eng_24_P17,english,inwards,21,5
eng_24_P17,english,outwards,4,6
eng_24_P17,english,inwards,3,7
eng_24_P17,english,outwards,1,8
eng_24_P17,english,inwards,20,9
eng_24_P17,english,outwards,29,10
eng_24_P17,english,inwards,27,11
eng_24_P17,english,outwards,15,12
eng_24_P17,english,inwards,11,13
eng_24_P17,english,outwards,12,14
eng_24_P17,english,inwards,30,15
eng_24_P17,english,outwards,20,16
eng_24_P17,english,inwards,16,17
eng_24_P17,english,outwards,18,18
eng_24_P17,english,inwards,6,19
eng_24_P17,english,outwards,1,20
eng_24_P17,english,inwards,4,21
eng_24_P17,english,outwards,12,22
eng_24_P17,english,inwards,17,23
eng_24_P17,english,outwards,25,24
eng_24_P17,english,inwards,23,25
eng_24_P17,english,outwards,29,26
eng_24_P17,english,inwards,14,27
eng_24_P17,english,outwards,10,28
eng_24_P17,english,inwards,5,29
eng_24_P17,english,outwards,3,30
eng_24_P17,english,inwards,7,31
eng_24_P17,english,outwards,11,32
eng_24_P17,english,inwards,10,33
eng_24_P17,english,outwards,16,34
eng_24_P17,english,inwards,22,35
eng_24_P17,english,outwards,25,36
eng_24_P17,english,inwards,17,37
eng_24_P17,english,outwards,13,38
eng_24_P17,english,inwards,9,39
eng_24_P17,english,outwards,19,40
eng_24_P17,english,inwards,18,41
eng_24_P17,english,outwards,15,42
eng_24_P17,english,inwards,11,43
eng_24_P17,english,outwards,23,44
eng_24_P17,english,inwards,13,45
eng_24_P17,english,outwards,27,46
eng_24_P17,english,inwards,1,47
eng_24_P17,english,outwards,2,48
eng_24_P17,english,inwards,12,49
eng_24_P17,english,outwards,18,50
eng_24_P17,english,inwards,25,51
eng_24_P17,english,outwards,23,52
eng_24_P17,english,inwards,27,53
eng_24_P17,english,outwards,16,54
eng_24_P17,english,inwards,5,55
eng_24_P17,english,outwards,10,56
eng_24_P17,english,inwards,14,57
eng_24_P17,english,outwards,12,58
eng_24_P17,english,inwards,19,59
eng_24_P17,english,outwards,30,60
eng_24_P17,english,inwards,2,61
eng_24_P17,english,outwards,5,62
eng_24_P17,english,inwards,9,63
eng_24_P17,english,outwards,18,64
eng_24_P17,english,inwards,26,65
eng_24_P17,english,outwards,10,66
eng_24_P17,english,inwards,20,67
eng_24_P17,english,outwards,25,68
eng_24_P17,english,inwards,14,69
eng_24_P17,english,outwards,17,70
eng_24_P17,english,inwards,8,71
eng_24_P17,english,outwards,15,72
eng_24_P17,english,inwards,10,73
eng_24_P17,english,outwards,3,74
eng_24_P17,english,inwards,27,75
eng_24_P17,english,outwards,5,76
eng_24_P17,english,inwards,9,77
eng_24_P17,english,outwards,17,78
eng_24_P17,english,inwards,24,79
eng_24_P17,english,outwards,13,80
