subject,language,movement,number,trial
eng_23_P02,english,inwards,30,70
eng_23_P02,english,outwards,27,71
eng_23_P02,english,inwards,17,72
eng_23_P02,english,outwards,6,73
eng_23_P02,english,inwards,3,74
eng_23_P02,english,outwards,29,75
eng_23_P02,english,inwards,30,76
eng_23_P02,english,outwards,21,77
eng_23_P02,english,inwards,12,78
eng_23_P02,english,outwards,19,79
eng_23_P03,english,outwards,5,1
eng_23_P03,english,inwards,3,2
eng_23_P03,english,outwards,7,3
eng_23_P03,english,inwards,30,4
eng_23_P03,english,outwards,24,5
eng_23_P03,english,inwards,21,6
eng_23_P03,english,outwards,18,7
eng_23_P03,english,inwards,13,8
eng_23_P03,english,outwards,15,9
eng_23_P03,english,inwards,27,10
eng_23_P03,english,outwards,23,11
eng_23_P03,english,inwards,9,12
eng_23_P03,english,outwards,10,13
eng_23_P03,english,inwards,11,14
eng_23_P03,english,outwards,18,15
eng_23_P03,english,inwards,7,16
eng_23_P03,english,outwards,1,17
eng_23_P03,english,inwards,9,18
eng_23_P03,english,outwards,8,19
eng_23_P03,english,inwards,11,20
eng_23_P03,english,outwards,30,21
eng_23_P03,english,inwards,17,22
eng_23_P03,english,outwards,18,23
eng_23_P03,english,inwards,22,24
eng_23_P03,english,outwards,28,25
eng_23_P03,english,inwards,20,26
eng_23_P03,english,outwards,9,27
eng_23_P03,english,inwards,15,28
eng_23_P03,english,outwards,10,29
eng_23_P03,english,inwards,2,30
eng_23_P03,english,outwards,5,31
eng_23_P03,english,inwards,23,32
eng_23_P03,english,outwards,22,33
eng_23_P03,english,inwards,6,34
eng_23_P03,english,outwards,17,35
eng_23_P03,english,inwards,15,36
eng_23_P03,english,outwards,5,37
eng_23_P03,english,inwards,2,38
eng_23_P03,english,outwards,1,39
eng_23_P03,english,inwards,5,40
eng_23_P03,english,outwards,10,41
eng_23_P03,english,inwards,8,42
eng_23_P03,english,outwards,6,43
eng_23_P03,english,inwards,20,44
eng_23_P03,english,outwards,14,45
eng_23_P03,english,inwards,5,46
eng_23_P03,english,outwards,30,47
eng_23_P03,english,inwards,27,48
eng_23_P03,english,outwards,22,49
eng_23_P03,english,inwards,25,50
eng_23_P03,english,outwards,18,51
eng_23_P03,english,inwards,17,52
eng_23_P03,english,outwards,30,53
eng_23_P03,english,outwards,2,55
eng_23_P03,english,inwards,6,56
eng_23_P03,english,outwards,17,57
eng_23_P03,english,inwards,14,58
eng_23_P03,english,outwards,28,59
eng_23_P03,english,inwards,2,60
eng_23_P03,english,outwards,6,61
eng_23_P03,english,inwards,5,62
eng_23_P03,english,outwards,30,63
eng_23_P03,english,inwards,21,64
eng_23_P03,english,outwards,16,65
eng_23_P03,english,inwards,17,66
eng_23_P03,english,outwards,29,67
eng_23_P03,english,inwards,1,68
eng_23_P03,english,outwards,17,69
eng_23_P03,english,inwards,3,70
eng_23_P03,english,outwards,23,71
eng_23_P03,english,inwards,9,72
